,R0000100,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race,sex,dob,yadultid,jobdissatisfaction1,jobdissatisfaction2,jobdissatisfaction3,jobdissatisfaction4,jobdissatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age,Self-Esteem,Pearlin,sex_2,race_2,race_3
3945,4163,3,2,3,3,27.0,24.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,416301,4163,3,1,1993,416301,1.0,-7,-7,-7,-7,23000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,0,1
3955,4176,2,2,1,3,20.0,30.0,9,-4,-4,-4,-4,-4,-4,-5,-5,-5,417602,4176,2,1,1998,417602,1.0,-7,-7,-7,-7,500,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,3,0,0,0,3,2,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,22,28.0,16.0,0,1,0
3956,4177,3,2,1,2,20.0,21.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,417701,4177,3,2,1979,417701,2.0,-7,-7,-7,-7,10000,-7,-7,38000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,2,2,2,1,3,2,3,3,0,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,8,41,28.0,16.0,1,0,1
3959,4178,2,2,1,2,22.0,22.0,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,417803,4178,2,2,1997,417803,1.0,-7,-7,-7,-7,-2,1,-7,-7,-7,2.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3,0,2,0,2,0,0,3,0,0,0,0,3,2,3,2,3,3,4,2,3,2,2,3,-7,-7,23,28.0,16.0,1,1,0
3960,4179,2,2,2,3,18.0,21.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,417901,4179,2,2,1975,417901,2.0,2,4,-7,-7,94000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,45,28.0,16.0,1,1,0
3962,4179,2,2,2,3,18.0,21.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,417903,4179,2,1,1987,417903,2.0,2,-7,-7,-7,0,-7,-7,-7,-7,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,4,2,4,1,4,2,2,3,-7,4,33,34.0,11.0,0,1,0
3965,4180,2,2,3,2,22.0,20.0,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,418003,4180,2,1,1987,418003,1.0,-7,-7,-7,-7,47000,-7,-7,70000,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,3,1,4,1,3,2,1,1,-7,9,33,36.0,13.0,0,1,0
3967,4182,3,2,2,3,30.0,25.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,418201,4182,3,2,1979,418201,1.0,-7,-7,-7,-7,0,-7,-7,128000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,41,28.0,16.0,1,0,1
3971,4184,1,2,-5,-5,16.0,16.0,-5,-5,-5,-5,-5,-5,-5,6,-5,-5,418403,4184,1,1,1982,418403,1.0,1,1,2,-7,204398,-7,-7,76000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,2,1,3,0,1,0,0,2,2,3,1,2,2,3,3,3,2,2,2,6,9,38,28.0,16.0,0,0,0
3973,4185,1,2,3,2,19.0,13.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,418501,4185,1,2,1992,418501,2.0,2,-7,-7,-7,20000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,1,0,0
3974,4185,1,2,3,2,19.0,13.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,418502,4185,1,1,1996,418502,3.0,-7,-7,-7,-7,23000,-7,-7,-7,-7,1.0,3.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3,0,2,3,2,1,3,2,1,2,0,0,1,2,1,2,2,1,4,3,2,3,1,3,-7,-7,24,18.0,16.0,0,0,0
3978,4187,1,2,4,4,24.0,29.0,6,-4,-4,-4,-4,-4,-4,-5,-5,-5,418702,4187,1,2,1990,418702,1.0,4,-7,-7,-7,30000,-7,-7,116000,-2,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,0,3,0,1,3,3,0,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,31,28.0,16.0,1,0,0
3981,4192,3,2,2,3,30.0,25.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,419201,4192,3,1,1993,419201,3.0,-7,-7,-7,-7,120000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,0,1
3984,4194,2,2,3,3,27.0,29.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,419402,4194,2,2,1983,419402,1.0,-7,-7,-7,-7,9600,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,2,4,2,4,2,4,-2,1,3,7,1,37,36.0,13.0,1,1,0
3988,4195,2,2,4,3,25.0,30.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,419503,4195,2,2,1993,419503,2.0,-7,-7,-7,-7,-2,4,-7,-2,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,1,1,0
3989,4197,2,2,3,3,19.0,18.0,7,-4,-4,-4,-4,-4,-4,-4,-5,-5,419701,4197,2,2,1978,419701,1.0,1,-7,-7,-7,10000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,42,28.0,16.0,1,1,0
3990,4197,2,2,3,3,19.0,18.0,7,-4,-4,-4,-4,-4,-4,-4,-5,-5,419702,4197,2,1,1979,419702,2.0,2,-7,-7,-7,17000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,1,0,2,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,41,28.0,16.0,0,1,0
3993,4199,2,2,3,3,25.0,25.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,419901,4199,2,2,1974,419901,2.0,2,-7,-7,-7,73000,-7,-7,90000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,46,28.0,16.0,1,1,0
3995,4199,2,2,3,3,25.0,25.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,419903,4199,2,1,1978,419903,2.0,-7,-7,-7,-7,-2,3,-7,-2,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,1,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,42,28.0,16.0,0,1,0
4003,4203,2,2,4,4,19.0,19.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,420304,4203,2,1,1993,420304,3.0,-7,-7,-7,-7,1500,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,1,0
4004,4203,2,2,4,4,19.0,19.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,420305,4203,2,1,1994,420305,2.0,-7,-7,-7,-7,15000,-7,-7,-7,-7,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,3,2,3,3,3,3,2,3,7,-7,26,26.0,19.0,0,1,0
4007,4208,2,2,3,3,26.0,27.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,420801,4208,2,2,1992,420801,2.0,4,-7,-7,-7,55000,-7,-7,55000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,1,1,0
4008,4210,2,2,2,3,20.0,20.0,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,421001,4210,2,2,1979,421001,2.0,4,-7,-7,-7,50000,-7,-7,20000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,41,28.0,16.0,1,1,0
4009,4210,2,2,2,3,20.0,20.0,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,421002,4210,2,1,1987,421002,2.0,1,1,-7,-7,75000,-7,-7,75000,-7,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,2,4,3,3,2,3,2,2,2,-7,8,33,32.0,18.0,0,1,0
4011,4212,2,2,1,3,26.0,24.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,421202,4212,2,1,1986,421202,2.0,4,-7,-7,-7,17000,-7,-7,-2,-7,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,3,2,2,3,3,3,2,2,3,2,2,-7,8,34,28.0,19.0,0,1,0
4012,4212,2,2,1,3,26.0,24.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,421203,4212,2,2,1987,421203,1.0,2,-7,-7,-7,0,-7,-7,-7,-7,1.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,1,1,3,3,2,2,1,3,-7,-2,33,36.0,15.0,1,1,0
4015,4214,2,2,3,3,20.0,18.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,421401,4214,2,1,1993,421401,1.0,1,-7,-7,-7,47880,-7,-7,50000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,1,0
4016,4214,2,2,3,3,20.0,18.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,421402,4214,2,2,1995,421402,2.0,2,-7,-7,-7,-2,2,-7,-7,-7,2.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,2,4,2,4,2,4,1,1,2,3,-7,25,28.0,16.0,1,1,0
4018,4218,3,2,2,2,23.0,30.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,421801,4218,3,1,1986,421801,3.0,1,2,-7,-7,40000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,-2,3,2,3,-2,-2,-2,2,2,-7,9,35,33.0,13.0,0,0,1
4022,4220,3,2,3,3,20.0,20.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,422002,4220,3,2,1991,422002,2.0,-7,-7,-7,-7,19000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,1,2,2,2,2,3,1,2,3,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29,28.0,16.0,1,0,1
4023,4220,3,2,3,3,20.0,20.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,422003,4220,3,1,1993,422003,1.0,-7,-7,-7,-7,45000,-7,-7,30000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,0,1
4024,4223,3,2,3,4,29.0,30.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,422301,4223,3,2,1997,422301,1.0,-7,-7,-7,-7,0,-7,-7,-7,-7,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2,2,0,0,0,3,0,3,0,0,0,0,1,1,1,1,2,1,4,1,2,2,1,1,-7,-7,22,28.0,17.0,1,0,1
4025,4223,3,2,3,4,29.0,30.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,422302,4223,3,1,2000,422302,1.0,-7,-7,-7,-7,6000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,28.0,16.0,0,0,1
4027,4224,3,2,2,1,-3.0,22.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,422402,4224,3,1,1992,422402,2.0,-7,-7,-7,-7,60000,-7,-7,20000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,0,1
4029,4227,3,2,2,2,30.0,30.0,7,-4,-4,-4,-4,-4,-4,-5,-5,-5,422702,4227,3,1,1996,422702,2.0,2,-7,-7,-7,2000,-7,-7,-7,-7,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3,0,0,0,0,0,0,3,0,0,0,0,2,2,2,1,2,2,4,2,2,2,1,3,-7,-7,23,26.0,14.0,0,0,1
4032,4231,3,2,4,2,18.0,20.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,423102,4231,3,1,1987,423102,1.0,4,-7,-7,-7,52000,-7,-7,-7,-7,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-2,-2,-2,1,3,2,4,-2,-2,-2,1,1,-7,-7,33,33.0,18.0,0,0,1
4033,4231,3,2,4,2,18.0,20.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,423103,4231,3,1,1991,423103,1.0,3,-7,-7,-7,29000,-7,-7,62000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29,28.0,16.0,0,0,1
4035,4232,3,2,4,2,23.0,20.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,423201,4232,3,1,1979,423201,1.0,1,-7,-7,-7,0,-7,85000,75000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,2,0,3,0,0,2,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,41,28.0,16.0,0,0,1
4037,4232,3,2,4,2,23.0,20.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,423203,4232,3,2,1982,423203,2.0,2,3,-7,-7,2000,-7,-7,38000,-7,2.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,2,3,2,3,2,3,3,2,3,5,-7,38,30.0,17.0,1,0,1
4038,4232,3,2,4,2,23.0,20.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,423204,4232,3,2,1995,423204,2.0,1,-7,-7,-7,10000,-7,-7,-7,-7,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,1,4,2,3,2,3,2,1,3,7,-7,25,31.0,16.0,1,0,1
4045,4249,3,2,1,3,23.0,19.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,424902,4249,3,1,1987,424902,1.0,-7,-7,-7,-7,25000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,-2,1,2,2,4,2,2,3,2,3,-7,9,33,35.0,13.0,0,0,1
4046,4250,3,2,2,4,24.0,24.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,425001,4250,3,1,1993,425001,2.0,-7,-7,-7,-7,17500,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,0,1
4047,4250,3,2,2,4,24.0,24.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,425002,4250,3,2,2000,425002,2.0,-7,-7,-7,-7,-2,1,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,2,0,1,0,1,2,3,0,1,2,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,28.0,16.0,1,0,1
4048,4252,3,2,1,2,-3.0,20.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,425201,4252,3,2,1983,425201,1.0,1,2,2,1,204398,-7,-7,0,-7,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,4,2,4,2,3,2,2,3,7,9,37,27.0,17.0,1,0,1
4049,4252,3,2,1,2,-3.0,20.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,425202,4252,3,2,1991,425202,2.0,4,2,-7,-7,30000,-7,-7,45000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,1,1,3,1,0,2,0,1,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29,28.0,16.0,1,0,1
4051,4254,3,2,1,4,30.0,20.0,12,-4,-4,-4,-4,-4,-4,-4,-5,-5,425402,4254,3,1,1992,425402,2.0,4,2,-7,-7,18410,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,0,0,1
4052,4254,3,2,1,4,30.0,20.0,12,-4,-4,-4,-4,-4,-4,-4,-5,-5,425403,4254,3,1,1993,425403,1.0,3,1,-7,-7,12000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,0,1
4054,4256,3,2,3,3,20.0,20.0,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,425602,4256,3,1,1982,425602,1.0,-7,-7,-7,-7,204398,-7,4000,-7,-7,2.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,2,1,2,4,2,4,2,1,1,6,9,38,36.0,14.0,0,0,1
4056,4262,3,2,3,3,30.0,24.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,426202,4262,3,1,1975,426202,1.0,-7,-7,-7,-7,50000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,45,28.0,16.0,0,0,1
4063,4270,2,2,4,3,29.0,30.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,427003,4270,2,2,1987,427003,1.0,-7,-7,-7,-7,67000,-7,-7,75000,-7,2.0,1.0,2.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,1,4,3,4,3,2,4,1,2,-7,3,33,35.0,16.0,1,1,0
4064,4272,2,2,4,4,28.0,30.0,-3,-4,-4,-4,-4,-4,-4,-5,-5,-5,427201,4272,2,1,1992,427201,2.0,-7,-7,-7,-7,16000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,0,1,0
4065,4272,2,2,4,4,28.0,30.0,-3,-4,-4,-4,-4,-4,-4,-5,-5,-5,427202,4272,2,1,1997,427202,2.0,4,2,-7,-7,30000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,0,0,1,0,3,0,3,0,0,0,0,2,2,3,2,2,3,3,3,3,2,2,2,-7,-7,23,36.0,13.0,0,1,0
4067,4274,1,2,2,3,20.0,17.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,427402,4274,1,1,1979,427402,1.0,1,-7,-7,-7,28000,-7,-7,0,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,1,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,41,28.0,16.0,0,0,0
4079,4282,1,2,3,4,24.0,28.0,7,-4,-4,-4,-4,-4,-4,-5,-5,-5,428203,4282,1,2,1990,428203,1.0,2,-7,-7,-7,30000,-7,-7,30000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30,28.0,16.0,1,0,0
